Test_Predictions,Actual
5701212.0,267964393
7841809.0,181726
885531.5,34620422
3340437.2,39823753
1920452.2,4393952
2144381.2,4091772
4386863.0,28692692
887182.1,34492621
3818122.5,117561159
1200116.1,4150242
5359580.0,16429046
499474.25,44613107
3115578.5,8978214
2468514.5,4258387
1343247.0,11352384
1612360.2,21420823
8068399.0,597084
358881.8,15380622
5326185.5,1224399
349373.5,9662751
3365280.8,1307973
2812134.5,5951807
544117.75,38643354
6242767.0,3818945
518366.0,101062589
6357541.0,164269733
7027795.0,1517330
2578724.0,14284508
3346044.0,3896898
1503617.8,19984420
6328415.5,6921249
10868299.0,8636928
4111059.0,46377
6860616.5,3297809
952155.4,37119250
707865.5,1392969
2210946.5,20200369
663519.8,16709753
521891.8,5961925
7114083.0,3805385
2801762.0,20426608
4284675.0,15924777
3459913.5,72497942
89338.75,6444953
4720417.5,159476126
4697093.0,265768164
6015971.5,156905
3467799.0,4441247
3670199.5,17479423
1743581.5,11685172
6870030.0,16605
8378113.0,5693237
7953761.0,70756196
6549322.0,141138425
2870292.5,32443
4736678.5,541536
5037028.5,217385983
4838738.5,56964182
4431958.0,518739
3794865.0,70233639
12817429.0,15767147
7871479.0,308842
7449220.5,13562358
925238.4,1456674
2731368.0,87793057
6712329.0,12428521
3252168.2,17256772
6926833.0,11738137
7331750.0,49279945
11945998.0,34984441
7703177.5,36211940
5032895.5,44678311
3976583.8,75840543
8658618.0,22008482
4874788.0,5971316
5722221.0,85798001
10680534.0,51257255
7118140.0,19136094
3436881.0,108498139
5188197.0,2227281
9823200.0,22190987
2656547.5,13882656
5948820.5,39746151
1878045.2,9578750
5538974.0,8625282
2166149.2,22836754
7670853.0,19295366
5886689.0,4110116
4348738.0,38972122
5390411.5,1751384
6443242.0,52732190
4250808.0,3253035
1192741.8,5988968
782972.1,11820351
2961954.0,23111344
1560032.6,1927551811
6923335.5,3408544
2652975.5,3970964
12047286.0,10867110
2842458.0,5122852
6200748.0,632776
6718538.5,2058892
2879658.5,2197500
7622128.0,44909190
4891045.5,25826354
4945620.0,372563
5702090.0,33426010
3190658.2,109000507
5484822.0,35951808
3592976.5,37950784
9543542.0,66804146
5634679.5,6008977
6068941.0,3110172
8645388.0,130980718
4218017.0,6205523
4519100.0,19235143
6208922.5,1878399
505164.84,4441142
8318192.0,10870617
3396944.0,37797319
6601781.0,73809546
5216403.0,34589287
6000339.0,98077
9836150.0,5064121
3681699.2,6637776
236667.1,21290044
8488739.0,30326017
881340.3,1314803
2681293.5,2400
123978.52,181860
434098.84,1483074
596780.94,903683
7667618.5,235872
288987.9,1830719
504670.56,1238
621119.0,1431
177601.92,12461013
4151256.5,33429
5476494.5,419131
693919.4,1758364
674300.9,897528
1139845.2,9503
2777988.2,725472
355945.88,5911
97169.09,4
312482.88,8776
1538763.6,296007
1018057.9,19570
264021.94,2079
2896919.5,49864536
187679.72,37253
303625.75,117034
291692.44,7732
1953533.9,17437
886661.75,341691
877418.25,5736
345643.44,3118292
4483587.0,90811
657603.75,352
149563.88,24067854
2129838.0,62778
2603471.5,4541
1298926.8,4341347
